排名,电影名称,评分,简介
1,肖申克的救赎,9.7,暂无简介
2,霸王别姬,9.6,暂无简介
3,泰坦尼克号,9.5,暂无简介
4,阿甘正传,9.5,暂无简介
5,千与千寻,9.4,暂无简介
6,美丽人生,9.5,暂无简介
7,这个杀手不太冷,9.4,暂无简介
8,星际穿越,9.4,暂无简介
9,盗梦空间,9.4,暂无简介
10,楚门的世界,9.4,暂无简介
11,辛德勒的名单,9.5,暂无简介
12,忠犬八公的故事,9.4,暂无简介
13,海上钢琴师,9.3,暂无简介
14,三傻大闹宝莱坞,9.2,暂无简介
15,疯狂动物城,9.2,暂无简介
16,放牛班的春天,9.3,暂无简介
17,机器人总动员,9.3,暂无简介
18,无间道,9.3,暂无简介
19,控方证人,9.6,暂无简介
20,大话西游之大圣娶亲,9.2,暂无简介
21,熔炉,9.3,暂无简介
22,触不可及,9.3,暂无简介
23,教父,9.3,暂无简介
24,寻梦环游记,9.1,暂无简介
25,当幸福来敲门,9.1,暂无简介
26,末代皇帝,9.3,暂无简介
27,哈利·波特与魔法石,9.2,暂无简介
28,龙猫,9.2,暂无简介
29,怦然心动,9.1,暂无简介
30,活着,9.3,暂无简介
31,蝙蝠侠：黑暗骑士,9.2,暂无简介
32,指环王3：王者无敌,9.3,暂无简介
33,我不是药神,9.0,暂无简介
34,乱世佳人,9.3,暂无简介
35,飞屋环游记,9.1,暂无简介
36,让子弹飞,9.0,暂无简介
37,哈尔的移动城堡,9.1,暂无简介
38,素媛,9.3,暂无简介
39,十二怒汉,9.4,暂无简介
40,海蒂和爷爷,9.3,暂无简介
41,猫鼠游戏,9.1,暂无简介
42,天空之城,9.2,暂无简介
43,摔跤吧！爸爸,9.0,暂无简介
44,鬼子来了,9.3,暂无简介
45,少年派的奇幻漂流,9.1,暂无简介
46,钢琴家,9.3,暂无简介
47,指环王2：双塔奇兵,9.2,暂无简介
48,死亡诗社,9.2,暂无简介
49,大话西游之月光宝盒,9.0,暂无简介
50,何以为家,9.1,暂无简介
51,闻香识女人,9.1,暂无简介
52,绿皮书,8.9,暂无简介
53,大闹天宫,9.4,暂无简介
54,黑客帝国,9.1,暂无简介
55,指环王1：护戒使者,9.1,暂无简介
56,罗马假日,9.1,暂无简介
57,教父2,9.3,暂无简介
58,狮子王,9.1,暂无简介
59,天堂电影院,9.2,暂无简介
60,饮食男女,9.2,暂无简介
61,辩护人,9.2,暂无简介
62,搏击俱乐部,9.0,暂无简介
63,本杰明·巴顿奇事,9.0,暂无简介
64,美丽心灵,9.1,暂无简介
65,穿条纹睡衣的男孩,9.2,暂无简介
66,情书,8.9,暂无简介
67,窃听风暴,9.2,暂无简介
68,两杆大烟枪,9.1,暂无简介
69,哈利·波特与死亡圣器(下),9.0,暂无简介
70,音乐之声,9.1,暂无简介
71,西西里的美丽传说,8.9,暂无简介
72,功夫,8.9,暂无简介
73,阿凡达,8.8,暂无简介
74,哈利·波特与阿兹卡班的囚徒,9.0,暂无简介
75,看不见的客人,8.8,暂无简介
76,拯救大兵瑞恩,9.1,暂无简介
77,沉默的羔羊,8.9,暂无简介
78,小鞋子,9.2,暂无简介
79,飞越疯人院,9.1,暂无简介
80,布达佩斯大饭店,8.9,暂无简介
81,蝴蝶效应,8.9,暂无简介
82,禁闭岛,8.9,暂无简介
83,致命魔术,8.9,暂无简介
84,心灵捕手,9.0,暂无简介
85,低俗小说,8.9,暂无简介
86,超脱,9.0,暂无简介
87,哈利·波特与密室,8.9,暂无简介
88,摩登时代,9.3,暂无简介
89,喜剧之王,8.8,暂无简介
90,杀人回忆,8.9,暂无简介
91,致命ID,8.9,暂无简介
92,春光乍泄,9.0,暂无简介
93,一一,9.1,暂无简介
94,海豚湾,9.3,暂无简介
95,美国往事,9.1,暂无简介
96,加勒比海盗,8.8,暂无简介
97,红辣椒,9.0,暂无简介
98,七宗罪,8.8,暂无简介
99,唐伯虎点秋香,8.7,暂无简介
100,还有明天,9.4,暂无简介
101,狩猎,9.1,暂无简介
102,幽灵公主,8.9,暂无简介
103,甜蜜蜜,8.9,暂无简介
104,蝙蝠侠：黑暗骑士崛起,8.9,暂无简介
105,7号房的礼物,8.9,暂无简介
106,寄生虫,8.8,暂无简介
107,天书奇谭,9.2,暂无简介
108,超能陆战队,8.8,暂无简介
109,爱在黎明破晓前,8.8,暂无简介
110,被嫌弃的松子的一生,8.8,暂无简介
111,第六感,8.9,暂无简介
112,爱在日落黄昏时,8.9,暂无简介
113,重庆森林,8.8,暂无简介
114,入殓师,8.9,暂无简介
115,剪刀手爱德华,8.7,暂无简介
116,未麻的部屋,9.1,暂无简介
117,断背山,8.8,暂无简介
118,菊次郎的夏天,8.9,暂无简介
119,哈利·波特与火焰杯,8.8,暂无简介
